admin_id,name,parent_fk,center_fk,admin_level,koatuu,population
1,Великобагачанська,,15,114,,20686
2,Багачанська Перша,1,27,125,5320280900,798
27,Багачка Перша,2,,30,5320280901,234
26,Байрак,5,,25,5320255101,396
29,Балюки,3,,30,5320280302,287
23,Буряківщина,5,,25,5320255102,28
9,Бутова Долина,5,,25,5320255103,345
15,Велика Багачка,5,,16,5320255100,5774
5,Великобагачанська,1,15,120,5320255100,7115
24,Володимирівка,6,,30,5320284302,38
14,Гарнокут,5,,25,5320255104,8
18,Довгалівка,5,,25,5320255105,377
17,Затон,5,,25,5320255106,84
11,Іванівка,6,,30,5320284303,1
25,Мала Решетилівка,5,,25,5320255107,72
7,Мар'янівка,6,,30,5320284305,280
13,Перекопівка,6,,30,5320284304,49
21,Пилипенки,5,,25,5320255108,13
10,Пушкареве,2,,30,5320280902,140
16,Радивонівка,6,,30,5320284301,932
6,Радивонівська,1,16,125,5320284300,824
8,Семенівка,2,,30,5320280904,197
28,Степанівка,4,,30,5320285001,384
4,Степанівська,1,28,125,5320285000,498
22,Стефанівщина,4,,30,5320285007,109
12,Шепелі,5,,25,5320255109,18
19,Широке,2,,30,5320280907,144
3,Якимівська,1,20,125,5320280300,914
20,Якимове,3,,30,5320280301,627
